title,key,plugin,priority,status
"Method parameters, caught exceptions and foreach variables should not be reassigned",S1226,squid,MAJOR,ACTIVE
"Methods named ""equals"" should override Object.equals(Object)",S1201,squid,CRITICAL,ACTIVE
Methods should not be empty,S1186,squid,MAJOR,ACTIVE
"Methods should not be named ""hashcode""",S1221,squid,CRITICAL,ACTIVE
Methods should not have too many parameters,S00107,squid,MAJOR,ACTIVE
Missing Static Method In Non Instantiatable Class,MissingStaticMethodInNonInstantiatableClass,pmd,MAJOR,ACTIVE
Modifiers should be declared in the correct order,ModifiersOrderCheck,squid,MINOR,ACTIVE
Ncss Type Count,NcssTypeCount,pmd,MAJOR,ACTIVE
Nested blocks of code should not be left empty,S00108,squid,MAJOR,ACTIVE
Nested code blocks should not be used,S1199,squid,MAJOR,ACTIVE
Non-constructor methods should not have the same name as the enclosing class,S1223,squid,MAJOR,ACTIVE
Non-static class initializers should not be used,S1171,squid,MAJOR,ACTIVE
Object.finalize() should not be overloaded (by adding method parameters),S1175,squid,MAJOR,ACTIVE
Object.finalize() should remain protected (versus public) when overriding,S1174,squid,MAJOR,ACTIVE
Octal values should not be used,S1314,squid,MAJOR,ACTIVE
Overriding methods should do more than simply call the same method in the super class,S1185,squid,MINOR,ACTIVE
Package names should comply with a naming convention,S00120,squid,MAJOR,ACTIVE
Primitive wrappers should not be instantiated only to perform a to String conversion,S1158,squid,MAJOR,ACTIVE
Public methods should throw at most one checked exception,S1160,squid,MAJOR,ACTIVE
Return of boolean expressions should not be wrapped into an if-then-else statement,S1126,squid,MAJOR,ACTIVE
Return statements should not occur in finally blocks,S1143,squid,BLOCKER,ACTIVE
"Right curly brace and next ""else"", ""catch"" and ""finally"" keywords should be located on the same line",RightCurlyBraceSameLineAsNextBlockCheck,squid,MAJOR,ACTIVE
Right curly braces should be located at the beginning of lines of code,RightCurlyBraceStartLineCheck,squid,MAJOR,ACTIVE
Security - Array is stored directly,ArrayIsStoredDirectly,pmd,CRITICAL,ACTIVE
Simplify Conditional,SimplifyConditional,pmd,MAJOR,ACTIVE
Singular Field,SingularField,pmd,MINOR,ACTIVE
Statements should be on separate lines,S00122,squid,MAJOR,ACTIVE
String Buffer Instantiation With Char,StringBufferInstantiationWithChar,pmd,MAJOR,ACTIVE
String Instantiation,StringInstantiation,pmd,MAJOR,ACTIVE
String literals should not be duplicated,S1192,squid,MINOR,ACTIVE
String To String,StringToString,pmd,MAJOR,ACTIVE
String.valueOf() should not be appended to a String,S1153,squid,MINOR,ACTIVE
Strings literals should be placed on the left side when checking for equality,S1132,squid,MAJOR,ACTIVE
Strings should be compared using equals(),StringEqualityComparisonCheck,squid,MAJOR,ACTIVE
super.clone() should be called when overriding Object.clone(),S1182,squid,MAJOR,ACTIVE
super.finalize() should be called at the end of Object.finalize() implementations,ObjectFinalizeOverridenCallsSuperFinalizeCheck,squid,BLOCKER,ACTIVE
Switch cases should end with an unconditional break statement,S128,squid,CRITICAL,ACTIVE
Switch cases should not have too many lines,S1151,squid,MAJOR,ACTIVE
Switch statements should end with a default case,SwitchLastCaseIsDefaultCheck,squid,MAJOR,ACTIVE
"Synchronized classes Vector, Hashtable and StringBuffer should not be used",S1149,squid,MAJOR,ACTIVE
System.exit(...) and Runtime.getRuntime().exit(...) should not be called,S1147,squid,CRITICAL,ACTIVE
System.out and System.err should not be used as loggers,S106,squid,MAJOR,ACTIVE
Tabulation characters should not be used,S00105,squid,MINOR,ACTIVE
The default unnamed package should not be used,S1220,squid,MAJOR,ACTIVE
The members of an interface declaration or class should appear in a pre-defined order,S1231,squid,MINOR,ACTIVE
The Object.finalize() method should never be called,ObjectFinalizeCheck,squid,CRITICAL,ACTIVE
The Object.finalize() method should never be overriden,ObjectFinalizeOverridenCheck,squid,CRITICAL,ACTIVE
Thread.run() and Runnable.run() should not be called directly,S1217,squid,CRITICAL,ACTIVE
Throwable and Error classes should not be caught,S1181,squid,BLOCKER,ACTIVE
Throwable.printStackTrace(...) should never be called,S1148,squid,CRITICAL,ACTIVE
Throws declarations should not be redundant,RedundantThrowsDeclarationCheck,squid,MINOR,ACTIVE
TODO tags should be handled,S1135,squid,INFO,ACTIVE
Try-catch blocks should not be nested,S1141,squid,MAJOR,ACTIVE
Type parameter names should comply with a naming convention,S00119,squid,MAJOR,ACTIVE
Unnecessary Local Before Return,UnnecessaryLocalBeforeReturn,pmd,MAJOR,ACTIVE
Unused formal parameter,UnusedFormalParameter,pmd,MAJOR,ACTIVE
Unused local variable,UnusedLocalVariable,pmd,MAJOR,ACTIVE
Unused Modifier,UnusedModifier,pmd,INFO,ACTIVE
Unused Null Check In Equals,UnusedNullCheckInEquals,pmd,MAJOR,ACTIVE
Unused Private Field,UnusedPrivateField,pmd,MAJOR,ACTIVE
Unused private method,UnusedPrivateMethod,squid,MAJOR,ACTIVE
Use Arrays As List,UseArraysAsList,pmd,MAJOR,ACTIVE
Use Index Of Char,UseIndexOfChar,pmd,MAJOR,ACTIVE
Use String Buffer Length,UseStringBufferLength,pmd,MINOR,ACTIVE
Useless imports should be removed,UselessImportCheck,squid,MINOR,ACTIVE
Useless Operation On Immutable,UselessOperationOnImmutable,pmd,CRITICAL,ACTIVE
Useless parentheses around expressions should be removed to prevent any misunderstanding,UselessParenthesesCheck,squid,MAJOR,ACTIVE
Utility classes should not have a public constructor,S1118,squid,MAJOR,ACTIVE
